Zona de Transporte,Id UF
BA06502000,BA
MA11302000,MA
TO18202000,TO
MT07902000,MT
BA19551165,MA
MA01401166,MA
PI10632014,PI
TO21001167,TO
MT03401171,MT
BA09302000,BA
BA19552000,BA
BA28902000,BA
MT07602000,MT
MT03402000,MT
PR18202000,PR
PA06802014,PA
GO05472025,GO
MT06222000,MT
MT07922000,MT
MG09302000,MG
BA03202612,BA
MT02632000,MT
MT07602309,MT
PA05501169,PA
GO08002000,GO
GO01402000,GO
PI11201168,PI
GO20262023,GO
MT07602394,MT
MA01402000,MA
SP24102000,SP
MT07602290,MT
SP36502000,SP
MT07042000,MT
MT05252000,MT
GO10002000,GO
MG70102000,MG
SP21702000,SP
GO18802000,GO
DF00103136,DF
MT07602016,MT
MT08502000,MT
SP13502000,SP
PA01302000,PA
MT05602000,MT
MG70202000,MG
RS15602000,RS
MT00202000,MT
TO15702000,TO
SP09502000,SP
MS02702000,MS
MG09302002,MG
GO19302000,GO
SP48502000,SP
GO05102000,GO
RS04602000,RS
MA01402007,MA
BA11102107,BA
MA07802000,MA
TO18202073,TO
MA01402026,MA
TO12502000,TO
BA26202000,BA
MA11602000,MA
TO18202061,TO
BA11102052,BA
MA12002000,MA
TO01902007,TO
MA06302000,MA
TO17502000,TO
BA03202000,BA
BA11102874,BA
MA09502000,MA
PI10632002,PI
BA09302558,BA
TO01102017,TO
BA11102000,BA
PI01902000,PI
BA28902603,BA
TO11902000,TO
BA08102000,BA
TO10502000,TO
MT05102000,MT
PI01152113,PI
MT02632027,MT
MT07852000,MT
PI08802000,PI
TO03302000,TO
TO13602000,TO
MT08052034,MT
MT01852031,MT
MA02102000,MA
MA01402242,MA
TO09002000,TO
MT07002000,MT
MA07302002,MA
MA00502000,MA
MT07062000,MT
MT03852000,MT
MT08102000,MT
MT07242000,MT
MT00352000,MT
MT08002000,MT
MT06202000,MT
MT03852002,MT
MT02672000,MT
RO00302000,RO
RO00282000,RO
MT06302000,MT
MT03302000,MT
MT06372000,MT
MT04602000,MT
PA05502000,PA
PI08902000,PI
MA01402262,MA
MT00402000,MT
TO18882000,TO
MT07872000,MT
MT03352000,MT
MT04522000,MT
MT03502000,MT
MT03902000,MT
MT06282000,MT
MA05422000,MA
TO12702049,TO
PA05502130,PA
MS07932000,MS
PA08122024,PA
BA09302563,BA
BA28402000,BA
BA11102888,BA
TO09302000,TO
MT07002004,MT
TO02102000,TO
BA09302021,BA
MT08052000,MT
MT06212000,MT
MT02502000,MT
MT00402017,MT
MA02202008,MA
GO13102028,GO
RO00262000,RO
RO00262008,RO
MT01902242,MT
PA06182000,PA
MT02702270,MT
PI01152000,PI
MT00302000,MT
MT07952000,MT
MS03302000,MS
MT06222078,MT
TO20102000,TO
MT02632105,MT
TO18202082,TO
MA04802000,MA
TO06002000,TO
BA17352000,BA
BA11102047,BA
BA11102094,BA
MT07042430,MT
MT03302086,MT
BA09302077,BA
PI11202000,PI
GO03102001,GO
MA04202029,MA
BA17352016,BA
MT07352000,MT
MT07002082,MT
MT08902000,MT
MT01902000,MT
MT00352014,MT
TO03842000,TO
MT03602000,MT
PA07752000,PA
TO20972000,TO
TO00402000,TO
BA26202009,BA
PI04402000,PI
PI06602000,PI
PI10632000,PI
MT01902164,MT
MT02682216,MT
TO18202077,TO
BA28902710,BA
MT04552000,MT
MT05582000,MT
TO20492000,TO
RO01462000,RO
RO00902000,RO
MT06242000,MT
GO12202000,GO
MT06422000,MT
PA06702000,PA
MT02692000,MT
MT05902000,MT
MT01802000,MT
BA28902187,BA
MA12002011,MA
TO01302001,TO
TO01902000,TO
TO10902000,TO
MT04202009,MT
TO08202000,TO
TO20652000,TO
MA11602016,MA
BA11102883,BA
MT00602227,MT
TO06002001,TO
TO17202001,TO
TO02102002,TO
BA11102104,BA
PA08402000,PA
PA08122000,PA
TO22102000,TO
MT06292000,MT
MT06772000,MT
MT02682026,MT
MT07042513,MT
PI09202000,PI
BA28902164,BA
MA10802000,MA
PA06702044,PA
MA01402012,MA
BA17352049,BA
BA09302076,BA
MT01852000,MT
MT06252000,MT
MT05252099,MT
MT05252635,MT
MT07762000,MT
TO08252000,TO
MT08102001,MT
MT03502441,MT
MT01902027,MT
MT05252884,MT
MT04202000,MT
MT02682000,MT
MT06222998,MT
MT00252000,MT
MT07952303,MT
MT07302000,MT
MT05202000,MT
MT02702000,MT
MT05253000,MT
MT05252600,MT
TO03862000,TO
MA06402000,MA
MT04802000,MT
MT06502000,MT
MT04522014,MT
MT05252579,MT
MT06802000,MT
BA02502000,BA
MS07692000,MS
TO18892000,TO
MA08002000,MA
MA03502004,MA
MT03702000,MT
TO17202000,TO
MA11102000,MA
MT05202072,MT
MT08502014,MT
PA06702015,PA
MA06102000,MA
MT07402000,MT
MT08952000,MT
MT01252000,MT
MT07792000,MT
MA07252000,MA
MA02802000,MA
BA28902689,BA
MT07942000,MT
MT06262000,MT
PA06582000,PA
PA03042000,PA
MT03852011,MT
MT07872056,MT
MT06192014,MT
MT07802000,MT
MT04802031,MT
PA06582020,PA
TO13952000,TO
BA11103000,BA
BA02502558,BA
TO07302000,TO
MA02802002,MA
MT05202074,MT
MT05201000,MT
MA03002000,MA
MT08002297,MT
BA28902053,BA
MA10652000,MA
MA07902000,MA
MT07042011,MT
RO00202000,RO
MT03502554,MT
PA05032000,PA
GO19802000,GO
PI01902083,PI
PI07402000,PI
MT02702007,MT
BA11102774,BA
MT02682000,MS
MA05702000,MA
MA11902002,MA
BA03202666,BA
MT07042351,MT
MT08602000,MT
MT03052000,MT
PA02762000,PA
BA11102167,BA
MT02602000,MT
MT06372061,MT
MS03252000,MS
MT08302044,MT
BA03202093,BA
BA09302099,BA
TO07202000,TO
TO03902000,TO
MA09702000,MA
MT04522232,MT
PA01252000,PA
MA04202000,MA
RO01102000,RO
RO00032000,RO
RO00802010,RO
PI03232000,PI
MA01802000,MA
PA02702000,PA
MT07062375,MT
RO00802000,RO
PA00602000,PA
MS01502000,MS
MS07102000,MS
BA28902562,BA
PI09802000,PI
MT04542000,MT
MT05502000,MT
RO01452000,RO
RO00942000,RO
RO00052000,RO
MT03502289,MT
MT03102000,MT
GO18102000,GO
MT06422040,MT
PI06001000,PI
BA11102024,BA
MT08002241,MT
RO00022000,RO
MT07923480,MT
MT07852009,MT
BA09302060,BA
BA26202023,BA
TO13602036,TO
TO13602037,TO
MA05302000,MA
MT07003000,MT
MT07182000,MT
TO03842068,TO
TO07002000,TO
MA02322000,MA
MT03502057,MT
RO00922000,RO
PI09202022,PI
BA11102026,BA
PI01152111,PI
MT07302004,MT
PE11602000,PE
PA06132000,PA
BA28902030,BA
TO15002000,TO
MT06302156,MT
TO00702000,TO
MT07792064,MT
MT04522029,MT
TO00252000,TO
BA03202080,BA
MT02702012,MT
MT03353000,MT
TO12702000,TO
GO13702000,GO
MT07062308,MT
TO21003007,TO
MT02682054,MT
MT06282005,MT
BA11102038,BA
BA26202581,BA
BA28902114,BA
TO11952000,TO
MT02602009,MT
BA26202011,BA
BA28902057,BA
MT06102000,MT
BA28902724,BA
TO21002002,TO
TO17502001,TO
BA19552777,BA
TO01102000,TO
MT06222653,MT
PA05502134,PA
PI07402009,PI
MT02632103,MT
PA06132015,PA
MA01402303,MA
MT07923482,MT
MT07762226,MT
MT05252895,MT
MT06302153,MT
MT07352007,MT
MT06242317,MT
BA09302607,BA
MT02632035,MT
BA03202073,BA
BA19551303,BA
MT07742000,MT
MT08302000,MT
MT07062320,MT
TO12702044,TO
MA01402290,MA
MT07923483,MT
MT08002338,MT
MT05252894,MT
BA09302565,BA
MS02952000,MS
MT06223052,MT
TO07102000,TO
MT00502000,MT
MT07352003,MT
TO12702037,TO
MT07882000,MT
MT08602016,MT
BA19552601,BA
MT07742021,MT
RO00402000,RO
MT04542081,MT
MA06402002,MA
MT07923494,MT
MS06602000,MS
MA11742000,MA
BA09302556,BA
MT07762003,MT
MT04602031,MT
BA28902588,BA
MT07922061,MT
MT03002000,MT
BA03202048,BA
BA11102834,BA
MT06172000,MT
TO18902000,TO
MT00202087,MT
MT07062392,MT
MT00602000,MT
BA28902558,BA
MA00102000,MA
MT04602071,MT
MA03202000,MA
RO00012000,RO
PA07952000,PA
MT06752000,MT
MT01802070,MT
MT07192000,MT
MA05922000,MA
MA01402014,MA
PI11202241,PI
RO00072006,RO
PR09802000,PR
BA17352014,BA
TO13302017,TO
MA11902000,MA
